DATE,GOOG,NVDA,AMZN,RPD,SPLK,PYPL,AAPL,SNPS,MU,MSFT
4/15/16,0.006635935,0.008112538,0.00636317,-0.003856542,0.010076667,-0.002847161,-0.020364733,0.009553551,-0.003734832,0.006309169
4/18/16,0.008054684,-0.002431448,0.015864535,0.021423926,-0.002815204,0.02762324,-0.013033415,0.013185193,0.024164745,0.017329598
4/19/16,-0.020454423,-0.02179329,-0.014608494,-0.05804337,-0.023926527,-0.012913206,-0.009032139,0.004886003,-0.033030526,-0.004247042
4/20/16,-0.007056501,0.005502077,0.004734805,-0.063578982,0.017042409,0.021180822,0.004584374,-0.009220432,0.011225562,-0.012513571
4/21/16,0.00496528,-0.001372307,0,-0.005960001,0.01288074,-0.002490661,-0.00901838,0.00694731,-0.013986242,-0.000358487
4/22/16,-0.010421735,-0.007142888,-0.006377685,0.052490183,0.009892429,0.014744738,0.006360076,0.003267309,0,-0.002507476
4/25/16,0.009796848,0.004674833,0.015433076,0.011317825,0.00077235,-0.011237476,0.000761615,-0.004086642,-0.011310205,0.006352895
4/26/16,-0.024108983,-0.005194817,-0.014947384,-0.000797766,-0.006945812,0.004035314,0.004225494,-0.006782474,0.061819949,-0.01581518
4/27/16,-0.002052183,0.024967376,-0.008585294,0.014493007,0.031608799,0.00828214,0.018780864,0.002265473,0.019214565,-0.010544913
4/28/16,-0.024642491,-0.024018622,-0.022242486,-0.000801603,-0.007224366,-0.022944142,-0.028894132,-0.002690121,0.007775417,-0.014325752
4/29/16,0.003338853,-0.014529454,-0.009671241,0.004803852,-0.006901868,-0.013436633,-0.002663401,-0.011715615,-0.078682212,0.010481854
5/2/16,0.000831041,0.003617647,0.029576935,0.005579927,0.007044294,-0.001280574,-0.00351794,0.024117593,-0.016807118,0.01212618
5/3/16,-0.006492828,-0.000562114,-0.008956966,-0.008853177,-0.017104401,-0.007013927,0.010349654,0.000621182,-0.012470186,-0.011186693
5/4/16,0.007517042,-0.010872782,0.012463697,-0.045556532,-0.036170308,0.006284388,-0.010665923,-0.008124198,-0.024692613,0.000601745
5/5/16,0.005331897,-0.002285062,-0.021345752,-0.014462183,-0.028496663,0.014742282,-0.008117968,-0.009856429,0,0.001402665
5/6/16,0.018077825,0.01195914,0.026918919,-0.017391743,0.00042735,0.01969625,-0.006985895,0.013250799,0.001001502,0.009371019
5/9/16,0.001263247,-0.003960401,0.008569159,0.045560092,0.010232449,0.00506074,-0.002260618,0.005013589,-0.01308524,-0.008353271
5/10/16,0.008931049,0.012874513,0.0129845,-0.01258934,0.025714807,0.012291639,0.000963855,0.008874271,0.014977814,0.013616392
5/11/16,-0.011288088,-0.000277277,0.010486206,-0.030187717,0.000622859,0.00353179,-0.010430763,-0.005173317,0.007952328,-0.001565864
5/12/16,-0.005243411,-0.020865968,0.000766385,-0.05921936,-0.033242321,-0.008568601,-0.026003869,-0.000618748,-0.05259048,0.006036432
5/13/16,-0.001546291,0.044662531,-0.006626632,0.000885348,-0.004709921,-0.001518603,0.00576115,-0.007485999,-0.010405921,-0.007023049
5/16/16,0.010325424,0.036692506,0.000746064,0.020149609,0.022581945,-0.001525553,0.015998623,0.00930047,0.007257678,0.020072778
5/17/16,-0.013725237,0.006644543,-0.020823856,-0.037008629,0.023355407,-0.001023542,-0.011274316,-0.012272645,0.002070394,-0.023673217
5/18/16,0.004197695,0.031867739,0.011377114,0.030934857,0.032590679,-0.005117718,0.004239091,0.016470715,0.037510733,0.006515967
5/19/16,-0.00290872,0.008300716,0.009551281,0.002639685,0.004166259,-0.030344991,-0.004660038,-0.009190303,0.006975614,-0.002976488
5/20/16,0.011506759,0.011571315,0.002493145,0.012163486,0.042518482,-0.006903904,0.006109784,0.016970104,0.046431836,0.002769537
5/23/16,-0.003246457,-0.002699057,-0.01070674,0.035993603,0.013495987,0.010297121,0.005824249,-0.000401526,0.027299238,-0.011328751
5/24/16,0.018543578,0.020940841,0.008828977,0.034974422,0.006646996,0.016580691,0.006970098,0.022126545,0.015789802,0.017401945
5/25/16,0.006237788,-0.007279176,0.000494228,-0.01800376,-0.010613091,-0.002833958,0.009581999,0.001561585,0.000862441,0.00384468
5/26/16,0.001727725,0.008800937,0.009246574,0.025072078,0.005659531,-0.016671394,0.007296749,0.003512199,0.020288101,-0.000770564
5/27/16,0.011876543,0.004366819,-0.003867609,0.01283097,0.080161044,0.002365621,0.009109628,0.009513711,0.028008421,0.007674635
5/31/16,0.005424352,0.013359389,0.014577436,0.023623146,0.025563314,-0.004488456,0.00260704,-0.001740308,0.004728141,0.014060653
6/1/16,-0.000517471,0.006644543,-0.0020273,0.036721998,0.021345713,0.013137341,-0.005671476,0.011610038,0.03735843,0.007788053
6/2/16,-0.002871012,0.001698514,0.010033137,0.010226532,0.007381374,0.003637312,0.001228753,0.014029249,0.01227951,-0.003044142
6/3/16,-0.009548092,-0.004293695,-0.001652574,-0.044650274,-0.006896579,-0.002865705,0.001328496,-0.00326202,-0.012364918,-0.011327759
